"","SKA03_16","SKA03_19","SKA03_20","SKA03_27","SKA03_28","SKA03_29","SKA03_36","SKA03_38","SKA03_39","SKA03_41","SKA03_43","SKA03_45","SKA03_46","SKA03_48","SKA03_49","SKA03_56","SKA03_58","SKA03_59"
"LOC105378077",21.2041314457416,0,17.3580881373494,40.5936791465869,62.0919353679712,3.53113312513161,4.10979363789507,13.5238404019426,8.90090797801523,12.053032202828,7.10548672104808,8.65458308588645,14.5407741461449,14.8775768232644,9.13736474153168,0,6.88484174027382,4.38967183488772
"LOC107986663",0,0,0,0,0,0,0,0,0,0,0,0,6.84271724524467,0,0,0,0,0
"SNX9",1150.8060430098,1297.63537720603,1423.36322726265,1403.06516468476,608.845921802607,686.805392838098,1275.06347615694,1206.7426820195,1151.18409848997,1560.86767026623,1800.7333490199,1988.63086906813,1508.81915257645,1497.98601639243,1426.3426361531,1114.81394160036,1237.55030281422,1229.10811376856
"SNX9-AS1",1.92764831324924,0,5.06277570672692,2.21420068072292,6.89910392977458,0,0,0,0,0,0,1.92324068575254,0.855339655655584,0,0,0,1.72121043506845,0
"SYNJ2",1485.25302535854,1331.49623300855,1507.98390693223,1565.4398812711,1233.21482744721,1124.66590035442,1571.99606649486,1557.32223705447,1377.66275704169,1316.79376815896,1553.05638331479,1488.58829077247,1272.74540761551,1169.74947772916,1421.77395378233,1381.62960060898,1513.80457764271,1352.8968595124
"SYNJ2-IT1",2.89147246987386,0,4.33952203433736,2.95226757429723,0,3.53113312513161,5.13724204736883,0,0,0,0,0,0.855339655655584,0,0,0,0,0
"SERAC1",183.126589758678,252.317990012284,214.08308702731,264.227947899602,169.028046279477,158.900990630922,425.363641522139,327.693055893226,322.410666759218,236.038547305383,241.586548515635,257.714251890841,225.809669093074,204.566681319886,243.967638598896,345.187255219069,400.181426153416,298.497684772365
"GTF2H5",1356.10058837084,882.566822207469,998.813321569982,492.290618014062,996.920517852427,985.186141911719,669.896362976896,614.814590580623,678.446985879828,738.248222423218,641.523943957483,625.053222869577,569.656210666619,674.140199804168,652.407842545362,685.971611774629,619.635756624643,715.516509086699
"TULP4",1652.95842861122,1571.79908063929,1709.77168152892,3663.76405970286,2207.71325752787,2046.29164601377,1866.87376001383,1702.96359522924,1575.4607121087,1232.42254273917,2046.38017566185,1869.38994655147,2341.91997718499,1550.98738382531,1777.21744222791,1799.90497364229,1986.276842069,1783.96263369837
"SRP72P2",18.3126589758678,29.4917131183189,10.1255514134538,48.7124149759042,79.3396951924077,63.560396252369,4.10979363789507,0,6.92292842734518,2.00883870047134,12.1808343789396,0,15.3961138018005,0,1.82747294830634,3.52231893080682,5.16363130520536,3.51173746791018
"SNORA116",1.92764831324924,0,1.44650734477912,8.85680272289168,12.0734318771055,0,0,0,0,0,10.150695315783,0,0,0,0.913736474153168,0,0,0.877934366977544
"TMEM181",1242.36933788913,1329.31166166645,1382.86102160884,2065.84923511448,1096.95752483416,1453.06128099166,1126.08345678325,1119.35786711464,1220.41338276342,1359.9838002191,1532.75499268323,1540.51578928779,1644.81815782569,1706.27209191814,1907.88175803182,1145.63423224492,1265.95027499285,1371.33348121892
"DYNLT1",2154.14699005602,2193.30962746609,2082.97057648193,1217.81037439761,1638.53718332146,2191.06810414416,1847.35224023383,2004.64926573411,1821.71916616712,2314.18218294299,1902.24030217773,2045.36646929783,2110.12293050232,2092.15924077156,1999.25540544713,2145.97280859406,1965.62231684817,1799.76545230397
"SYTL3",22.1679556023662,12.0151423815373,20.2511028269077,31.7368764236952,18.9725358068801,14.1245325005264,40.0704879694769,39.5312257902939,28.6807034847157,18.0795483042421,16.2411125052527,17.3091661717729,34.2135862262233,19.5268195805345,31.0670401212077,36.1037690407699,47.3332869643825,62.3333400554056
"AMZ2P2",0,0,0,0,8.62387991221822,0,0,0,0,0,0,0,1.71067931131117,0,0,0,0,0
"EZR",23141.4180005571,25627.2064141481,29299.0062685011,17380.7372767813,23475.9258970404,18190.6322941155,17871.4376343867,18029.3598466206,16907.7691991276,25045.1964981265,25212.2970253417,27345.5976903725,19804.5343870494,18478.8802630458,18691.3933152772,15942.0154808317,14788.6400581082,15134.7105523259
"EZR-AS1",0,1.09228567104885,0.72325367238956,2.21420068072292,17.2477598244364,0,0,0,0.988989775335026,0,0,0.961620342876272,0.855339655655584,0,0.913736474153168,0,0,0
"OSTCP1",1.92764831324924,2.1845713420977,0,1.47613378714861,13.7982078595492,0,4.10979363789507,5.20147707767025,3.9559591013401,0,2.03013906315659,0,10.264075867867,1.85969710290805,0,0,7.74544695780804,2.63380310093263
"C6orf99",80.961229156468,74.2754256313217,82.4509186524098,62.7356859538161,56.9176074206403,47.6702971892767,136.650638460011,120.67426820195,124.612711692213,104.45961242451,81.2055625262637,58.6588409154526,71.848531075069,53.9312159843334,65.7890261390281,116.236524716625,89.5029426235596,133.446023780587
"RSPH3",215.896611083915,103.767138749641,125.122885323394,105.543565781126,153.505062437484,135.948625317567,132.540844822116,140.439881097097,140.436548097574,84.3712254197963,117.748065663082,129.818746288297,97.5087207447365,86.4759152852243,122.440687536525,198.130439857884,240.108855692049,285.328669267702
"LOC105378083",0,0,0,0,3.44955196488729,0,0,0,2.96696932600508,0,1.0150695315783,0,0.855339655655584,0,0,2.64173919810512,0.860605217534227,3.51173746791018
"TAGAP",0,8.73828536839078,2.89301468955824,11.8090702971889,0,3.53113312513161,2.05489681894753,14.5641358174767,9.88989775335026,4.01767740094268,10.150695315783,3.84648137150509,6.84271724524467,13.0178797203563,1.82747294830634,0,1.72121043506845,5.26760620186527
