"","SKA03_16","SKA03_19","SKA03_20","SKA03_41","SKA03_43","SKA03_45"
"PTPN14",5461.05258869653,3179.17824927329,4453.47534593477,1971.84351886482,3353.79591321988,2961.70095787579
"LOC643454",3.98835317779553,4.55143629101401,6.06018077351219,12.5329037215984,0,2.00250233798228
"KRT18P12",16.950501005631,23.8950405278235,16.6654971271585,11.4884950781319,26.4745493623293,9.01126052092025
"CENPF",2530.61009131126,1053.65750136974,2368.77315984658,1500.81522066141,1865.92623905697,1983.47856577145
"ABHD17AP3",0.997088294448882,0,0.757522596689024,0,0,0
"UBE2V1P13",5.98252976669329,0,0,0,0,2.00250233798228
"LOC105372919",3.98835317779553,0,0,2.08881728693307,0,2.00250233798228
"KCTD3",1476.68776407879,1536.10974821723,1531.71069050521,1698.20845427659,1801.32833861289,1954.4422818707
"USH2A",3.98835317779553,4.55143629101401,4.54513558013414,0,0,2.00250233798228
"ESRRG",29.9126488334665,20.481463309563,34.8460394476951,75.1974223295907,76.2467021635085,66.0825771534151
"GPATCH2",457.663527152037,524.553032539364,466.633919560439,438.651630255946,513.606257629189,515.644352030436
"SPATA17",19.9417658889776,12.5164498002885,9.84779375695731,8.3552691477323,11.6488017194249,11.0137628589025
"SPATA17-AS1",1.99417658889776,0,1.51504519337805,0,0,0
"UBBP2",3.98835317779553,0,0,0,0,0
"RRP15",4451.00214641981,2379.26332112757,3222.50112631511,2181.7696562016,2025.83251720544,2036.54487772798
"TGFB2-AS1",0,0,3.0300903867561,0,1.05898197449317,0
"TGFB2",484.584911102157,537.069482339653,766.612867849292,603.668195923658,890.603840548759,970.212382752413
"LINC02869",61.8194742558307,22.75718145507,24.2407230940488,4.17763457386615,4.23592789797269,4.00500467596456
"LOC105372924",0,0,1.51504519337805,2.08881728693307,0,0
"LYPLAL1-DT",0,2.275718145507,0,0,2.11796394898635,0
"LYPLAL1",484.584911102157,322.014117589241,353.763052653774,355.098938778623,301.809862730554,273.341569134581
"RIMKLBP2",3.98835317779553,2.275718145507,6.06018077351219,0,0,0
"LOC107984018",0,0,0,0,0,0
"ZC3H11B",1.99417658889776,0,0,2.08881728693307,2.11796394898635,0
"SLC30A10",7.97670635559106,4.55143629101401,10.6053163536463,8.3552691477323,6.35389184695904,16.0200187038582
"EPRS1",7601.80115687828,5292.18254737654,5955.6426551691,6343.73810041575,7410.75585750322,7470.33497184289
"BPNT1",1070.8728282381,918.252271712076,967.356355971883,1232.40219929051,971.08647061024,915.143568457901
"IARS2",5174.8882481897,5664.26246416693,5575.36631163122,6366.71509057201,6340.12508129063,6757.44413952119
"LOC105373475",2.99126488334665,0,0,2.08881728693307,0,2.00250233798228
"MIR215",0,0,0.757522596689024,0,0,0
"MIR194-1",1.99417658889776,1.1378590727535,0.757522596689024,0,1.05898197449317,0
"RPS15AP12",1.99417658889776,4.55143629101401,0,2.08881728693307,2.11796394898635,0
"RAB3GAP2",1870.5376403861,1214.09563062799,1387.78139713429,1285.66704010731,1742.02534804127,1674.09195455318
"MORF4L1P1",443.704291029752,671.336852924566,541.628656632652,696.62056519218,653.391878262288,657.822018027178
"AURKAP1",22.9330307723243,20.481463309563,9.84779375695731,4.17763457386615,0,5.00625584495569
"MARK1",1.99417658889776,2.275718145507,4.54513558013414,0,2.11796394898635,0
"C1orf115",450.683909090895,491.555119429513,545.416269616097,607.845830497525,612.091581257054,526.658114889339
"MTARC2",376.899375301677,574.618831740519,478.754281107463,523.248730376735,445.831411261626,474.5930541018
"MTARC1",1397.91778881733,1628.27633311026,1343.84508652633,1339.97628956757,1485.75171021392,1268.58523111177
"RNU6ATAC35P",3.98835317779553,2.275718145507,3.0300903867561,14.6217210085315,4.23592789797269,10.0125116899114
"LINC01352",0,0,1.51504519337805,0,0,0
"HLX",1.99417658889776,0,4.54513558013414,0,0,0
"DUSP10",173.493363234105,147.921679457955,162.109835691451,124.284628572518,159.906278148469,164.205191714547
"LOC105372945",0,6.82715443652101,1.51504519337805,0,0,0
"HHIPL2",9.97088294448882,0,1.51504519337805,2.08881728693307,4.23592789797269,2.00250233798228
"TAF1A",314.082812751398,314.049104079967,257.557682874268,372.853885717554,273.217349419239,318.397871739182
"TAF1A-AS1",7.97670635559106,19.3436042368095,1.51504519337805,19.8437642258642,16.9437115918908,10.0125116899114
"MIA3",610.218036202716,738.470538217023,847.667785695018,811.505515973499,874.719110931361,1007.25867600509
"LOC107985098",0.997088294448882,0,0,0,0,0
"AIDA",701.950159292013,1398.42880041405,1130.98123685671,1938.42244227389,2501.31542375287,2341.92648427027
"BROX",1004.06791251002,1075.27682375206,999.172305032822,1225.09133878625,1483.63374626494,1412.7653994465
"FAM177B",11.9650595333866,0,1.51504519337805,0,0,0
"DISP1",260.240044851158,192.298183295342,291.646199725274,234.991944779971,274.276331393732,240.300280557873
"LOC107985323",3.98835317779553,2.275718145507,0,0,0,0
"TLR5",1.99417658889776,4.55143629101401,4.54513558013414,4.17763457386615,2.11796394898635,0
